Data;Fonte de Datos;Buyer;Buyer Country;Provedor;País do Provedor;Código HS;Descrição do produto;Quantidade;Unidade;Valor;Direção Comercial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/12/2025;PAKISTAN - IMPORT;INNOVATIVE PRIVATE LIMITED;PAKISTAN;ERNESTO VENTOS S.A;SPAIN;38249999 - PREPARED BINDERS FOR(..) OTHER:OTHER (12 OTHER MIXTURES CONSISTING MAINLY OF CHEMICALS CONTAINING A PHOSPHORUS ATOM TO WHICH I(..);CLEARWOOD FIRMENICH 970953;25,00;KILOGRAMS;2.484,55;IMPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/12/2025;PAKISTAN - IMPORT;INNOVATIVE PRIVATE LIMITED;PAKISTAN;ERNESTO VENTOS S.A;SPAIN;33029090 - MIXTURES OF ODORIFEROUS SUBSTANCES AND MIXTURES (INCLUDING ALCOHOLIC SOLUTIONS) WITH A BASIS OF ONE OR (..) OTHER OTHER: OTHER;TAMARINE BASE FIRMENICH 41310 G;5,00;KILOGRAMS;960,61;IMPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/12/2025;PAKISTAN - IMPORT;INNOVATIVE PRIVATE LIMITED;PAKISTAN;ERNESTO VENTOS S.A;SPAIN;33012990 - ESSENTIAL OILS (TERP(..) ESSENTIAL OILS OTHER THAN THOSE OF CITR(..) ESSENTIAL OILS OTHER THAN THOSE OF CITRUS FRUIT: OTHER: OTHER;CEDARWOOD OIL  ATLAS;25,00;KILOGRAMS;502,53;IMPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/12/2025;PAKISTAN - IMPORT;INNOVATIVE PRIVATE LIMITED;PAKISTAN;ERNESTO VENTOS S.A;SPAIN;33012990 - ESSENTIAL OILS (TERP(..) ESSENTIAL OILS OTHER THAN THOSE OF CITR(..) ESSENTIAL OILS OTHER THAN THOSE OF CITRUS FRUIT: OTHER: OTHER;SCHINUS MOLLE;1,00;KILOGRAMS;286,14;IMPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/12/2025;PAKISTAN - IMPORT;INNOVATIVE PRIVATE LIMITED;PAKISTAN;ERNESTO VENTOS S.A;SPAIN;33012990 - ESSENTIAL OILS (TERP(..) ESSENTIAL OILS OTHER THAN THOSE OF CITR(..) ESSENTIAL OILS OTHER THAN THOSE OF CITRUS FRUIT: OTHER: OTHER;NUTMEG OIL;25,00;KILOGRAMS;1.840,74;IMPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/12/2025;PAKISTAN - IMPORT;INNOVATIVE PRIVATE LIMITED;PAKISTAN;ERNESTO VENTOS S.A;SPAIN;33012990 - ESSENTIAL OILS (TERP(..) ESSENTIAL OILS OTHER THAN THOSE OF CITR(..) ESSENTIAL OILS OTHER THAN THOSE OF CITRUS FRUIT: OTHER: OTHER;VETIVER OIL TERPENES;25,00;KILOGRAMS;2.171,58;IMPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/12/2025;PAKISTAN - IMPORT;INNOVATIVE PRIVATE LIMITED;PAKISTAN;ERNESTO VENTOS S.A;SPAIN;33012990 - ESSENTIAL OILS (TERP(..) ESSENTIAL OILS OTHER THAN THOSE OF CITR(..) ESSENTIAL OILS OTHER THAN THOSE OF CITRUS FRUIT: OTHER: OTHER;AMYRIS OIL;5,00;KILOGRAMS;1.052,58;IMPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/12/2025;PAKISTAN - IMPORT;INNOVATIVE PRIVATE LIMITED;PAKISTAN;ERNESTO VENTOS S.A;SPAIN;33012990 - ESSENTIAL OILS (TERP(..) ESSENTIAL OILS OTHER THAN THOSE OF CITR(..) ESSENTIAL OILS OTHER THAN THOSE OF CITRUS FRUIT: OTHER: OTHER;MACE OIL;5,00;KILOGRAMS;587,61;IMPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/12/2025;PAKISTAN - IMPORT;INNOVATIVE PRIVATE LIMITED;PAKISTAN;ERNESTO VENTOS S.A;SPAIN;"33011900 - ESSENTIAL OILS (TERPENELESS OR NOT), INCLUDING CONCRETES AND ABSOLUTES; RESINOIDS; E(..) ESSENTIAL OILS OF CITRUS FRUIT:OTHER";LEMON OIL MD;25,00;KILOGRAMS;894,18;IMPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/12/2025;PAKISTAN - IMPORT;INNOVATIVE PRIVATE LIMITED;PAKISTAN;ERNESTO VENTOS S.A;SPAIN;29329990 - HETEROCYCLIC COMPOUNDS WITH OXYGEN HETERO-ATOM(S) ONLY. OTHER:OTHER OTHER: OTHER: OTHER;WATERMELON KETONE (CALONE);5,00;KILOGRAMS;810,38;IMPORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
