Data;Fonte de Datos;Buyer;Buyer Country;Provedor;País do Provedor;Código HS;Descrição do produto;Quantidade;Unidade;Valor;Direção Comercial;Método de Transporte;Tipo de Comércio;Proveedor Declarado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/04/2026;USA - BILLS IMPORTS;VENTOS ESENCIAS Y QUIMICOS SA DE C;MEXICO;ERNESTO VENTOS S A;SPAIN;290519 - SATURATED MONOHYDRIC ALCOHOLS, OTHERS;ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPH ONATE - INTO  PALLETS AROMA AND ESSENCES CH EMICAL (HAZ AND NON HAZ) HSC:   P KG NW: , KGS - GW: , KGS HAZARDOUS PRODUCTS  PKG NW: . KGS - GW: , KGS UN:  CLASS:  PG: III UN:  C LASS:  PG: III UN:  CLASS:  PG: III UN:  CLASS: .()PG: II UN:  CLASS:  P G: III UN:  CLASS:  PG: III;19.350,00;KILOGRAMS;1.854.954,86;IMPORT;MARITIME;BILLS;ERNESTO VENTOS S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/04/2026;USA - BILLS IMPORTS;ERNESTO VENTOS SA;SPAIN;AROMATICOS QUIMICOS POTOSINOS;MEXICO;330129 - ESSENTIAL OILS, OTHERS;ESSENTIAL OILS, N.O.S. AND GARLIC OIL DQG-;130,00;KILOGRAMS;9.376,82;IMPORT;MARITIME;BILLS;AROMATICOS QUIMICOS POTOSINOS, SA D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2026;PAKISTAN - IMPORT;CORNISH FOOD INDUSTRIES;PAKISTAN;ERNESTO VENTOS S.A;CHINA;33021090 - MIXTURES OF ODORIFERO(..) OF A KIND USED IN THE FOOD OR DRINK INDUSTRIES OF A KIND USED IN THE FOOD OR DRINK INDUSTRIES: OTHER;AROMATIC ESSENCES: (1). 2-ACETYLPYRAZINE (50 KG)  (2). 2-METHOXY-3(5/6)-METHYLPYRAZINE (1 KG)  (3).TRANS-2-TRANS-4-DECADIENAL (1 KG)  (4). 5-METHYL-2-PHENYL-2-HEXENAL (2 KG).;54,00;KILOGRAMS;7.723,67;IMPORT;NOT DECLARED;DECLARATIONS;ERNESTO VENTOS S.A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2026;PAKISTAN - IMPORT;CORNISH FOOD INDUSTRIES;PAKISTAN;ERNESTO VENTOS S.A;UNITED KINGDOM (UK);33021090 - MIXTURES OF ODORIFERO(..) OF A KIND USED IN THE FOOD OR DRINK INDUSTRIES OF A KIND USED IN THE FOOD OR DRINK INDUSTRIES: OTHER;AROMATIC ESSENCES: MILK LACTONE (3 KG).;3,00;KILOGRAMS;639,76;IMPORT;NOT DECLARED;DECLARATIONS;ERNESTO VENTOS S.A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2026;ECUADOR - IMPORT;FLORASINTESIS FRAGANCIAS Y AROMAS CIA. LTDA;ECUADOR;ERNESTO VENTOS;INDIA;2915310000 - SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND P(..) ESTERS OF ACETIC ACID:ETHYL ACETATE;ETHYL ACETATE;420,00;KILOGRAMS;946,95;IMPORT;MARITIME;DECLARATIONS;ERNESTO VENTOS S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2026;ECUADOR - IMPORT;FLORASINTESIS FRAGANCIAS Y AROMAS CIA. LTDA;ECUADOR;ERNESTO VENTOS;INDONESIA;3301299090 - ESSENTIAL OILS (TERPENELESS OR NOT), INCLUDING CONCRETE(..) ESSENTIAL OILS OTHER THAN THOSE OF CITRUS FRUIT:OTHER OTHER: OTHER;PATCHOULY DECOLORIZED 0 082530;200,00;KILOGRAMS;14.028,83;IMPORT;MARITIME;DECLARATIONS;ERNESTO VENTOS S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2026;ECUADOR - IMPORT;FLORASINTESIS FRAGANCIAS Y AROMAS CIA. LTDA;ECUADOR;ERNESTO VENTOS;CHINA;"2912299000 - ALDEHYDES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION; CYCLIC PO(..) CYCLIC ALDEHYDES WITHOUT OTHER OXYGEN FUNCTION:OTHER OTHER";CORANOL FIRMENICH 928130;10,00;KILOGRAMS;430,89;IMPORT;MARITIME;DECLARATIONS;ERNESTO VENTOS S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2026;ECUADOR - IMPORT;FLORASINTESIS FRAGANCIAS Y AROMAS CIA. LTDA;ECUADOR;ERNESTO VENTOS;UNITED KINGDOM (UK);2914190000 - KETONES AND QUINONES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION, AND (..) ACYCLIC KETONES WITHOUT OTHER OXYGEN FUNCTION:OTHER;KOAVONE 0 074015;25,00;KILOGRAMS;551,13;IMPORT;MARITIME;DECLARATIONS;ERNESTO VENTOS S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2026;ECUADOR - IMPORT;FLORASINTESIS FRAGANCIAS Y AROMAS CIA. LTDA;ECUADOR;ERNESTO VENTOS;CHINA;2914390000 - KETONES AND QUINONES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION, AND(..) AROMATIC KETONES WITHOUT OTHER OXYGEN FUNCTION:OTHER;KOHINOOL AMBER CARBINOL 0 074016;25,00;KILOGRAMS;1.644,63;IMPORT;MARITIME;DECLARATIONS;ERNESTO VENTOS S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2026;ECUADOR - IMPORT;FLORASINTESIS FRAGANCIAS Y AROMAS CIA. LTDA;ECUADOR;ERNESTO VENTOS;BRAZIL;3301292000 - ESSENTIAL OILS (TERPENELESS OR NOT), INCLUDING CONCRET(..) ESSENTIAL OILS OTHER THAN THOSE OF CITRUS FRUIT:OTHER OF EUCALYPTUS;EUCALYPTUS CITRIODORA 0 069547;1.260,00;KILOGRAMS;20.517,16;IMPORT;MARITIME;DECLARATIONS;ERNESTO VENTOS S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
